designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604943016906161792,604943016906161792,133.07055911423762,11.937184605158073,0.4986210967293212,-2.086533591038136,-2.671437158211608,0.98363334,15.679132,0.88126564,0.35690308,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5849.9326,4.3603,-0.3419,1489.2085,0.2151,0.1799,0.0966
Gaia DR3 604943021201623552,604943021201623552,133.06460812947333,11.941307733288925,0.5748132523222967,-3.6143017738081795,-1.776129301011884,1.0501338,17.756731,1.0322399,0.43620872,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4995.249,4.7068,-0.9979,1712.2126,0.0085,0.0069,0.0037
Gaia DR3 604943021201625344,604943021201625344,133.06444041328854,11.931098934232786,0.5504418373506221,-0.156574046489949,-7.017987007543109,1.0024256,15.729918,0.8280983,0.32552147,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5621.938,3.8221,-0.757,2760.355,0.0503,0.0421,0.0229
Gaia DR3 604943085624926720,604943085624926720,133.11160481332564,11.928957212628315,,,,,21.451176,1.3469086,-0.66944885,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943085624927744,604943085624927744,133.12346241934208,11.932135436813867,0.46437128678150663,-0.5577452994956946,-4.187013445549151,1.0226328,18.94808,0.8919983,0.38183784,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5356.0503,4.7661,-1.5755,3352.617,0.0033,0.0028,0.0015
Gaia DR3 604943124280833664,604943124280833664,133.10197883815042,11.932491439313615,0.24628048505865385,-0.03707368108469461,-4.078616373874464,0.9703102,17.441612,0.8403511,0.35885048,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5527.663,4.6038,-0.5519,2342.449,0.0068,0.0057,0.0031
Gaia DR3 604943124281081344,604943124281081344,133.09706441274432,11.935854527270063,,,,,21.302069,1.5083466,-1.401617,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943158640571008,604943158640571008,133.10716331605565,11.933184206601235,0.6808969488934242,-5.947299777977339,-4.811871145747837,0.9607151,19.736725,2.1731167,1.0739918,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943188704260864,604943188704260864,133.1329730671955,11.933695574292491,0.2265108193070411,2.38511770002279,-27.509471317093887,0.9844619,20.574722,1.0347061,0.21846771,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943193000519168,604943193000519168,133.12728734721975,11.93732935540806,,,,,21.043663,1.2107811,-0.05860901,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604943223066352000,604943223066352000,133.13848728364692,11.948817831405721,0.23627456242986142,-2.316512742875134,-2.0893103128916897,0.8951071,16.399855,0.7952852,0.27836037,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5670.693,4.6419,-1.6201,1317.5691,0.0061,0.0051,0.0028
Gaia DR3 604943227360042240,604943227360042240,133.13838267591257,11.949838236554628,1.0970607947988846,-10.885909420736908,-2.6431117236002857,1.001531,14.353016,0.8459978,0.34034824,39.98615,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5762.533,4.322,-0.262,864.2043,0.0736,0.0615,0.0329
